date | value
2009-01-02 | 1
2009-01-05 | 1
2009-01-08 | 1
2009-01-11 | 1
2009-01-14 | 1
2009-01-17 | 1
2009-01-20 | 1
2009-01-23 | 1
2009-01-26 | 1
2009-01-29 | 1
2009-02-01 | 1
2009-02-04 | 1
2009-02-07 | 1
2009-02-10 | 1
2009-02-13 | 1
2009-02-16 | 1
2009-02-19 | 1
2009-02-22 | 1
2009-02-25 | 1
2009-02-28 | 1
2009-03-03 | 1
2009-03-06 | 1
2009-03-09 | 1
2009-03-12 | 1
2009-03-15 | 1
2009-03-18 | 1
2009-03-21 | 1
2009-03-24 | 1
2009-03-27 | 1
2009-03-31 | 1
2009-04-03 | 1
2009-04-06 | 1
2009-04-09 | 1
2009-04-12 | 1
2009-04-15 | 1
2009-04-18 | 1
2009-04-21 | 1
2009-04-24 | 1
2009-04-27 | 1
2009-04-30 | 1
2009-05-03 | 1
2009-05-06 | 1
2009-05-09 | 1
2009-05-12 | 1
2009-05-15 | 1
2009-05-18 | 1
2009-05-21 | 1
2009-05-24 | 1
2009-05-27 | 1
2009-05-30 | 1
2009-06-02 | 1
2009-06-05 | 1
2009-06-08 | 1
2009-06-11 | 1
2009-06-14 | 1
2009-06-17 | 1
2009-06-20 | 1
2009-06-23 | 1
2009-06-26 | 1
2009-06-29 | 1
2009-07-02 | 1
2009-07-05 | 1
2009-07-08 | 1
2009-07-11 | 1
2009-07-14 | 1
2009-07-17 | 1
2009-07-20 | 1
2009-07-23 | 1
2009-07-26 | 1
2009-07-29 | 1
2009-08-01 | 1
2009-08-04 | 1
2009-08-07 | 1
2009-08-10 | 1
2009-08-13 | 1
2009-08-16 | 1
2009-08-19 | 1
2009-08-22 | 1
2009-08-25 | 1
2009-08-28 | 1
2009-08-31 | 1
2009-09-03 | 1
2009-09-06 | 1
2009-09-09 | 1
2009-09-12 | 1
2009-09-15 | 1
2009-09-18 | 1
2009-09-21 | 1
2009-09-24 | 1
2009-09-27 | 1
2009-09-30 | 1
2009-10-03 | 1
2009-10-06 | 1
2009-10-09 | 1
2009-10-12 | 1
2009-10-15 | 1
2009-10-18 | 1
2009-10-21 | 1
2009-10-24 | 1
2009-10-26 | 1
2009-10-29 | 1
2009-11-01 | 1
2009-11-04 | 1
2009-11-07 | 1
2009-11-10 | 1
2009-11-13 | 1
2009-11-16 | 1
2009-11-19 | 1
2009-11-22 | 1
2009-11-25 | 1
2009-11-28 | 1
2009-12-01 | 1
2009-12-04 | 1
2009-12-07 | 1
2009-12-10 | 1
2009-12-13 | 1
2009-12-16 | 1
2009-12-19 | 1
2009-12-22 | 1
2009-12-25 | 1
2009-12-28 | 1
2009-12-31 | 1
2010-01-03 | 1
2010-01-06 | 1
2010-01-09 | 1
2010-01-12 | 1
2010-01-15 | 1
2010-01-18 | 1
2010-01-21 | 1
2010-01-24 | 1
2010-01-27 | 1
2010-01-30 | 1
2010-02-02 | 1
2010-02-05 | 1
2010-02-08 | 1
2010-02-11 | 1
2010-02-14 | 1
2010-02-17 | 1
2010-02-20 | 1
2010-02-23 | 1
2010-02-26 | 1
2010-03-01 | 1
2010-03-04 | 1
2010-03-07 | 1
2010-03-10 | 1
2010-03-13 | 1
2010-03-16 | 1
2010-03-19 | 1
2010-03-22 | 1
2010-03-25 | 1
2010-03-29 | 1
2010-04-01 | 1
2010-04-04 | 1
2010-04-07 | 1
2010-04-10 | 1
2010-04-13 | 1
2010-04-16 | 1
2010-04-19 | 1
2010-04-22 | 1
2010-04-25 | 1
2010-04-28 | 1
2010-05-01 | 1
2010-05-04 | 1
2010-05-07 | 1
2010-05-10 | 1
2010-05-13 | 1
2010-05-16 | 1
2010-05-19 | 1
2010-05-22 | 1
2010-05-25 | 1
2010-05-28 | 1
2010-05-31 | 1
2010-06-03 | 1
2010-06-06 | 1
2010-06-09 | 1
2010-06-12 | 1
2010-06-15 | 1
2010-06-18 | 1
2010-06-21 | 1
2010-06-24 | 1
2010-06-27 | 1
2010-06-30 | 1
2010-07-03 | 1
2010-07-06 | 1
2010-07-09 | 1
2010-07-12 | 1
2010-07-15 | 1
2010-07-18 | 1
2010-07-21 | 1
2010-07-24 | 1
2010-07-27 | 1
2010-07-30 | 1
2010-08-02 | 1
2010-08-05 | 1
2010-08-08 | 1
2010-08-11 | 1
2010-08-14 | 1
2010-08-17 | 1
2010-08-20 | 1
2010-08-23 | 1
2010-08-26 | 1
2010-08-29 | 1
2010-09-01 | 1
2010-09-04 | 1
2010-09-07 | 1
2010-09-10 | 1
2010-09-13 | 1
2010-09-16 | 1
2010-09-19 | 1
2010-09-22 | 1
2010-09-25 | 1
2010-09-28 | 1
2010-10-01 | 1
2010-10-04 | 1
2010-10-07 | 1
2010-10-10 | 1
2010-10-13 | 1
2010-10-16 | 1
2010-10-19 | 1
2010-10-22 | 1
2010-10-25 | 1
2010-10-28 | 1
2010-10-31 | 1
2010-11-02 | 1
2010-11-05 | 1
2010-11-08 | 1
2010-11-11 | 1
2010-11-14 | 1
2010-11-17 | 1
2010-11-20 | 1
2010-11-23 | 1
2010-11-26 | 1
2010-11-29 | 1
2010-12-02 | 1
